"age_at_filming","total_net_rating","total_actresses","total_oscars","total_films","avg_net_rating","avg_films","oscar"
10,-0.0338611449451891,1,0,1,-0.000445541380857751,0.0131578947368421,0
12,1.02339743589744,1,0,1,0.0134657557354926,0.0131578947368421,0
13,2.61927945472249,1,0,1,0.0344642033516118,0.0131578947368421,0
14,4.45185291858679,2,0,6,0.0585770120866683,0.0789473684210526,0
15,1.52895834389169,4,0,9,0.0201178729459432,0.118421052631579,0
16,-3.61529052172131,3,0,7,-0.0475696121279119,0.0921052631578947,0
17,-1.68238257861144,5,0,14,-0.0221366128764663,0.184210526315789,0
18,-0.418369716257265,7,0,16,-0.0055048646875956,0.210526315789474,0
19,-1.86907907752499,11,0,23,-0.0245931457569078,0.302631578947368,0
20,-10.8273417264261,20,0,47,-0.142465022716133,0.618421052631579,0
21,-0.208125371411625,25,2,54,-0.00273849172910033,0.710526315789474,0.0263157894736842
22,-3.35599695391669,26,1,66,-0.0441578546567985,0.868421052631579,0.0131578947368421
23,4.59091039332222,35,0,82,0.0604067157016082,1.07894736842105,0
24,25.4741114395182,40,3,93,0.335185676835766,1.22368421052632,0.0394736842105263
25,25.9110948907653,42,3,90,0.340935459089017,1.18421052631579,0.0394736842105263
26,38.605722006368,46,7,99,0.507970026399578,1.30263157894737,0.0921052631578947
27,24.7945738635415,45,3,92,0.326244392941335,1.21052631578947,0.0394736842105263
28,26.5488410186792,47,2,86,0.349326855508937,1.13157894736842,0.0263157894736842
29,47.3510904488166,44,7,84,0.623040663800219,1.10526315789474,0.0921052631578947
30,32.7718510539708,45,3,84,0.431208566499615,1.10526315789474,0.0394736842105263
31,44.6608404856298,50,6,87,0.587642637968814,1.14473684210526,0.0789473684210526
32,34.3983802606567,46,0,70,0.452610266587588,0.921052631578947,0
33,43.7923592636051,46,6,74,0.576215253468489,0.973684210526316,0.0789473684210526
34,32.3265141751618,39,4,71,0.425348870725813,0.934210526315789,0.0526315789473684
35,39.93905948387,50,5,83,0.525513940577237,1.09210526315789,0.0657894736842105
36,37.4415316758092,43,0,66,0.492651732576437,0.868421052631579,0
37,45.2793221357473,46,2,74,0.595780554417727,0.973684210526316,0.0263157894736842
38,23.5320717065081,44,3,68,0.309632522454054,0.894736842105263,0.0394736842105263
39,27.3826187300349,47,1,68,0.36029761486888,0.894736842105263,0.0131578947368421
40,33.1618307171421,39,1,62,0.436339877857133,0.815789473684211,0.0131578947368421
41,34.1436083763093,47,4,73,0.449258004951438,0.960526315789474,0.0526315789473684
42,27.1049551938675,42,2,62,0.35664414728773,0.815789473684211,0.0263157894736842
43,19.1719487330389,36,0,51,0.25226248332946,0.671052631578947,0
44,26.6700840946848,40,2,61,0.350922159140589,0.802631578947368,0.0263157894736842
45,28.0319630218963,41,2,59,0.368841618709161,0.776315789473684,0.0263157894736842
46,27.3733052944441,36,0,55,0.360175069663739,0.723684210526316,0
47,25.3181359102131,31,1,46,0.333133367239646,0.605263157894737,0.0131578947368421
48,23.1304036578418,29,0,43,0.304347416550551,0.565789473684211,0
49,28.7200461714955,34,2,53,0.377895344361783,0.697368421052632,0.0263157894736842
50,18.7996109281735,25,0,39,0.247363301686494,0.513157894736842,0
51,9.43769484153584,24,0,30,0.124180195283366,0.394736842105263,0
52,17.733710555025,24,0,33,0.233338296776645,0.434210526315789,0
53,15.4530109380975,24,0,28,0.203329091290757,0.368421052631579,0
54,27.0110391445811,25,2,38,0.35540840979712,0.5,0.0263157894736842
55,13.0445891030413,22,0,35,0.171639330303175,0.460526315789474,0
56,21.6863065222101,26,0,42,0.285346138450133,0.552631578947368,0
57,16.9692076269307,19,0,24,0.223279047722773,0.315789473684211,0
58,0.362343171320767,16,0,26,0.00476767330685219,0.342105263157895,0
59,14.2218979228401,18,0,23,0.187130235826843,0.302631578947368,0
60,16.3408576372083,21,1,31,0.215011284700109,0.407894736842105,0.0131578947368421
61,5.20780631138791,18,3,27,0.068523767255104,0.355263157894737,0.0394736842105263
62,4.10019356859302,19,2,29,0.053949915376224,0.381578947368421,0.0263157894736842
63,19.617633897564,19,0,28,0.258126761810053,0.368421052631579,0
64,28.6843172375726,19,0,27,0.377425226810166,0.355263157894737,0
65,8.34099638707065,15,0,24,0.109749952461456,0.315789473684211,0
66,8.42758632746068,16,0,25,0.110889293782377,0.328947368421053,0
67,5.78033247414024,10,0,15,0.0760570062386874,0.197368421052632,0
68,3.7000920472422,11,0,17,0.0486854216742395,0.223684210526316,0
69,8.19539541285237,11,0,14,0.10783415016911,0.184210526315789,0
70,4.00861288747444,9,0,13,0.0527449064141373,0.171052631578947,0
71,1.79759055665797,7,0,10,0.023652507324447,0.131578947368421,0
72,6.76243780828037,9,0,12,0.0889794448457943,0.157894736842105,0
73,1.33754755494177,7,0,10,0.0175993099334443,0.131578947368421,0
74,-0.312101349179558,8,1,15,-0.00410659669973102,0.197368421052632,0.0131578947368421
75,5.54408418311213,7,0,8,0.0729484760935806,0.105263157894737,0
76,4.32681281619584,5,0,5,0.0569317475815242,0.0657894736842105,0
77,6.88880783339128,9,0,17,0.0906422083340958,0.223684210526316,0
78,3.38145868821023,4,0,6,0.0444928774764504,0.0789473684210526,0
79,1.12435648749937,4,0,4,0.0147941643092022,0.0526315789473684,0
80,5.13811792979062,5,1,5,0.067606814865666,0.0657894736842105,0.0131578947368421
81,6.95925951390886,5,0,8,0.0915692041303797,0.105263157894737,0
82,9.95600723257831,6,0,7,0.131000095165504,0.0921052631578947,0
83,-0.847401880935379,4,0,4,-0.0111500247491497,0.0526315789473684,0
84,1.52707084166111,1,0,1,0.0200930373902778,0.0131578947368421,0
85,5.7194237658139,4,0,9,0.0752555758659724,0.118421052631579,0
86,1.14513355848941,1,0,1,0.015067546822229,0.0131578947368421,0
87,3.18264186165166,3,0,4,0.0418768666006797,0.0526315789473684,0
88,3.54225365652862,2,0,2,0.0466086007437977,0.0263157894736842,0
89,0.375959780621573,1,0,1,0.0049468392187049,0.0131578947368421,0
90,0.597120098039216,1,0,1,0.00785684339525284,0.0131578947368421,0
93,0.925227113906359,1,0,1,0.0121740409724521,0.0131578947368421,0
